0       0       0x0980268C      0xFFFFFFFF       0x0000036F     0
0       0       0x0980328C      0xFFFFFFFF       0x0000032A     0
0       0       0x0980368C      0xFFFFFFFF       0x0000032A     0
0       0       0x0980428C      0xFFFFFFFF       0x00000365     0
0       0       0x09804A8C      0xFFFFFFFF       0x00000365     0
0       0       0x0980035C      0xFFFFFFFF       0x0000423F     0
0       0       0x0980075C      0xFFFFFFFF       0x0000423F     0
0       0       0x09800B5C      0xFFFFFFFF       0x0000423F     0
0       0       0x09800F5C      0xFFFFFFFF       0x0000423F     0
0       0       0x0980135C      0xFFFFFFFF       0x0000423F     0
0       0       0x0980175C      0xFFFFFFFF       0x0000423F     0
0       0       0x0980235C      0xFFFFFFFF       0x0000423F     0
0       0       0x0980275C      0xFFFFFFFF       0x0000423F     0
0       0       0x0980335C      0xFFFFFFFF       0x0000423F     0
0       0       0x0980375C      0xFFFFFFFF       0x0000423F     0
0       0       0x0980435C      0xFFFFFFFF       0x0000423F     0
0       0       0x09804B5C      0xFFFFFFFF       0x0000423F     0
0       0       0x09800364      0xFFFFFFFF       0x00005555     0
0       0       0x09800764      0xFFFFFFFF       0x00005555     0
0       0       0x09800B64      0xFFFFFFFF       0x00005555     0
0       0       0x09800F64      0xFFFFFFFF       0x00005555     0
0       0       0x09801364      0xFFFFFFFF       0x00005555     0
0       0       0x09801764      0xFFFFFFFF       0x00005555     0
0       0       0x09802364      0xFFFFFFFF       0x00005555     0
0       0       0x09802764      0xFFFFFFFF       0x00005555     0
0       0       0x09803364      0xFFFFFFFF       0x00005555     0
0       0       0x09803764      0xFFFFFFFF       0x00005555     0
0       0       0x09804364      0xFFFFFFFF       0x00005555     0
0       0       0x09804B64      0xFFFFFFFF       0x00005555     0
0       0       0x0980036C      0xFFFFFFFF       0x00000000     0
0       0       0x0980076C      0xFFFFFFFF       0x00000000     0
0       0       0x09800B6C      0xFFFFFFFF       0x00000000     0
0       0       0x09800F6C      0xFFFFFFFF       0x00000000     0
0       0       0x0980136C      0xFFFFFFFF       0x00000000     0
0       0       0x0980176C      0xFFFFFFFF       0x00000000     0
0       0       0x0980236C      0xFFFFFFFF       0x00000000     0
0       0       0x0980276C      0xFFFFFFFF       0x00000000     0
0       0       0x0980336C      0xFFFFFFFF       0x00000000     0
0       0       0x0980376C      0xFFFFFFFF       0x00000000     0
0       0       0x0980436C      0xFFFFFFFF       0x00000000     0
0       0       0x09804B6C      0xFFFFFFFF       0x00000000     0
0       0       0x09800234      0xFFFFFFFF       0x00004000     0
0       0       0x09800634      0xFFFFFFFF       0x00004000     0
0       0       0x09800A34      0xFFFFFFFF       0x00004000     0
0       0       0x09800E34      0xFFFFFFFF       0x00004000     0
0       0       0x09801234      0xFFFFFFFF       0x00004000     0
0       0       0x09801634      0xFFFFFFFF       0x00004000     0
0       0       0x09802234      0xFFFFFFFF       0x00004000     0
0       0       0x09802634      0xFFFFFFFF       0x00004000     0
0       0       0x09803234      0xFFFFFFFF       0x00004000     0
0       0       0x09803634      0xFFFFFFFF       0x00004000     0
0       0       0x09804234      0xFFFFFFFF       0x00004000     0
0       0       0x09804A34      0xFFFFFFFF       0x00004000     0
0       0       0x09800228      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09800628      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09800A28      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09800E28      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09801228      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09801628      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09802228      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09802628      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09803228      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09803628      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09804228      0xFFFFFFFF       0x0000E0C0     0
0       0       0x09804A28      0xFFFFFFFF       0x0000E0C0     0
0       0       0x0980036C      0xFFFFFFFF       0x00008040     0
0       0       0x0980076C      0xFFFFFFFF       0x00008040     0
0       0       0x09800B6C      0xFFFFFFFF       0x00008040     0
0       0       0x09800F6C      0xFFFFFFFF       0x00008040     0
0       0       0x0980136C      0xFFFFFFFF       0x00008040     0
0       0       0x0980176C      0xFFFFFFFF       0x00008040     0
0       0       0x0980236C      0xFFFFFFFF       0x00008040     0
0       0       0x0980276C      0xFFFFFFFF       0x00008040     0
0       0       0x0980336C      0xFFFFFFFF       0x00008040     0
0       0       0x0980376C      0xFFFFFFFF       0x00008040     0
0       0       0x0980436C      0xFFFFFFFF       0x00008040     0
0       0       0x09804B6C      0xFFFFFFFF       0x00008040     1
0       0       0x0980036C      0xFFFFFFFF       0x00008000     0
0       0       0x0980076C      0xFFFFFFFF       0x00008000     0
0       0       0x09800B6C      0xFFFFFFFF       0x00008000     0
0       0       0x09800F6C      0xFFFFFFFF       0x00008000     0
0       0       0x0980136C      0xFFFFFFFF       0x00008000     0
0       0       0x0980176C      0xFFFFFFFF       0x00008000     0
0       0       0x0980236C      0xFFFFFFFF       0x00008000     0
0       0       0x0980276C      0xFFFFFFFF       0x00008000     0
0       0       0x0980336C      0xFFFFFFFF       0x00008000     0
0       0       0x0980376C      0xFFFFFFFF       0x00008000     0
0       0       0x0980436C      0xFFFFFFFF       0x00008000     0
0       0       0x09804B6C      0xFFFFFFFF       0x00008000     5
0       0       0x09800224      0xFFFFFFFF       0x00000000     0
0       0       0x09800624      0xFFFFFFFF       0x00000000     0
0       0       0x09800A24      0xFFFFFFFF       0x00000000     0
